Player,Age,Team,Pos,MP,PTS,FG_Pct,ThreeP_Pct,FT_Pct,TRB,AST,STL,BLK,TOV,PPM
Luka Dončić,26.0,LAL,PG,2289.0,2143.0,0.476,0.366,0.78,495.0,530.0,105.0,34.0,255.0,0.936
Shai Gilgeous-Alexander,27.0,OKC,PG,2259.0,2117.0,0.553,0.386,0.879,292.0,448.0,95.0,52.0,151.0,0.937
Jaylen Brown,29.0,BOS,SF,2443.0,2038.0,0.477,0.347,0.795,492.0,364.0,72.0,27.0,259.0,0.834
Kevin Durant,37.0,HOU,SF,2840.0,2026.0,0.52,0.413,0.874,426.0,372.0,62.0,71.0,246.0,0.713
Tyrese Maxey,25.0,PHI,PG,2661.0,1980.0,0.462,0.367,0.892,290.0,461.0,130.0,55.0,171.0,0.744
Donovan Mitchell,29.0,CLE,SG,2342.0,1952.0,0.483,0.364,0.865,316.0,398.0,104.0,20.0,198.0,0.833
Jalen Brunson,29.0,NYK,PG,2590.0,1927.0,0.467,0.369,0.841,247.0,503.0,57.0,8.0,175.0,0.744
Jamal Murray,28.0,DEN,PG,2652.0,1905.0,0.483,0.435,0.887,330.0,535.0,66.0,29.0,171.0,0.718
Kawhi Leonard,34.0,LAC,SF,2085.0,1813.0,0.505,0.387,0.892,413.0,234.0,122.0,27.0,133.0,0.87
Nikola Jokić,30.0,DEN,C,2265.0,1799.0,0.569,0.38,0.831,836.0,697.0,92.0,53.0,243.0,0.794
Anthony Edwards,24.0,MIN,SG,2137.0,1757.0,0.489,0.399,0.796,302.0,226.0,83.0,49.0,174.0,0.822
Devin Booker,29.0,PHO,SG,2146.0,1668.0,0.456,0.33,0.873,248.0,386.0,51.0,18.0,201.0,0.777
Julius Randle,31.0,MIN,PF,2610.0,1667.0,0.481,0.315,0.802,532.0,398.0,86.0,18.0,217.0,0.639
Brandon Ingram,28.0,TOR,SF,2604.0,1655.0,0.477,0.382,0.82,430.0,284.0,58.0,55.0,187.0,0.636
James Harden,36.0,2TM,PG,2438.0,1652.0,0.434,0.375,0.884,336.0,557.0,79.0,28.0,245.0,0.678
Desmond Bane,27.0,ORL,SG,2756.0,1647.0,0.484,0.391,0.908,338.0,338.0,86.0,37.0,164.0,0.598
Nickeil Alexander-Walker,27.0,ATL,SG,2603.0,1624.0,0.459,0.399,0.902,268.0,286.0,102.0,42.0,162.0,0.624
Jalen Johnson,24.0,ATL,SF,2532.0,1621.0,0.489,0.352,0.788,740.0,566.0,89.0,31.0,244.0,0.64
Victor Wembanyama,22.0,SAS,C,1866.0,1600.0,0.512,0.349,0.827,736.0,199.0,66.0,197.0,155.0,0.857
Paolo Banchero,23.0,ORL,PF,2502.0,1599.0,0.459,0.305,0.775,604.0,373.0,51.0,40.0,222.0,0.639
Deni Avdija,25.0,POR,SF,2199.0,1598.0,0.462,0.318,0.802,454.0,442.0,51.0,41.0,253.0,0.727
Cade Cunningham,24.0,DET,PG,2172.0,1531.0,0.461,0.342,0.812,355.0,634.0,92.0,54.0,236.0,0.705
Karl-Anthony Towns,30.0,NYK,C,2322.0,1504.0,0.501,0.368,0.858,889.0,226.0,65.0,40.0,187.0,0.648
Kon Knueppel,20.0,CHO,SF,2551.0,1498.0,0.475,0.425,0.863,432.0,274.0,57.0,19.0,161.0,0.587
Pascal Siakam,31.0,IND,PF,2057.0,1485.0,0.484,0.358,0.693,411.0,236.0,69.0,25.0,138.0,0.722
Cooper Flagg,19.0,DAL,SF,2344.0,1473.0,0.468,0.295,0.827,466.0,316.0,84.0,64.0,161.0,0.628
Bam Adebayo,28.0,MIA,C,2365.0,1468.0,0.442,0.318,0.778,732.0,232.0,86.0,49.0,120.0,0.621
Alperen Şengün,23.0,HOU,C,2398.0,1466.0,0.519,0.305,0.691,640.0,445.0,85.0,77.0,227.0,0.611
Scottie Barnes,24.0,TOR,PF,2681.0,1448.0,0.507,0.304,0.815,600.0,474.0,114.0,116.0,210.0,0.54
LaMelo Ball,24.0,CHO,PG,2017.0,1445.0,0.407,0.368,0.899,347.0,514.0,87.0,17.0,202.0,0.716
Amen Thompson,23.0,HOU,PG,2953.0,1443.0,0.534,0.216,0.779,614.0,420.0,119.0,48.0,190.0,0.489
CJ McCollum,34.0,2TM,PG,2264.0,1424.0,0.455,0.375,0.772,252.0,293.0,64.0,35.0,135.0,0.629
Trey Murphy III,25.0,NOP,SF,2341.0,1420.0,0.47,0.379,0.886,377.0,250.0,99.0,24.0,120.0,0.607
DeMar DeRozan,36.0,SAC,PF,2406.0,1419.0,0.497,0.32,0.868,226.0,316.0,80.0,23.0,96.0,0.59
Jalen Duren,22.0,DET,C,1976.0,1365.0,0.65,,0.747,737.0,138.0,57.0,59.0,130.0,0.691
Payton Pritchard,28.0,BOS,PG,2556.0,1345.0,0.464,0.377,0.89,312.0,408.0,58.0,10.0,109.0,0.526
De'Aaron Fox,28.0,SAS,PG,2231.0,1336.0,0.486,0.332,0.76,270.0,445.0,89.0,19.0,164.0,0.599
Miles Bridges,27.0,CHO,PF,2387.0,1314.0,0.46,0.333,0.822,450.0,246.0,46.0,34.0,107.0,0.55
Brandon Miller,23.0,CHO,SF,1968.0,1311.0,0.435,0.383,0.892,319.0,217.0,66.0,44.0,163.0,0.666
Zion Williamson,25.0,NOP,PF,1841.0,1302.0,0.6,0.25,0.716,353.0,199.0,60.0,34.0,126.0,0.707
Ryan Rollins,23.0,MIL,PG,2376.0,1281.0,0.472,0.406,0.796,338.0,414.0,110.0,31.0,201.0,0.539
Keyonte George,22.0,UTA,PG,1786.0,1275.0,0.456,0.371,0.892,199.0,332.0,58.0,14.0,166.0,0.714
Saddiq Bey,26.0,NOP,SF,2246.0,1271.0,0.451,0.367,0.841,400.0,182.0,68.0,7.0,68.0,0.566
Derrick White,31.0,BOS,SG,2625.0,1267.0,0.394,0.327,0.902,339.0,414.0,88.0,98.0,134.0,0.483
Norman Powell,32.0,MIA,SG,1717.0,1261.0,0.47,0.38,0.827,203.0,143.0,64.0,14.0,111.0,0.734
Michael Porter Jr.,27.0,BRK,SF,1689.0,1259.0,0.463,0.363,0.859,367.0,158.0,55.0,13.0,122.0,0.745
LeBron James,41.0,LAL,SF,1989.0,1256.0,0.515,0.317,0.737,364.0,432.0,72.0,35.0,179.0,0.631
Matas Buzelis,21.0,CHI,PF,2248.0,1252.0,0.463,0.349,0.786,448.0,158.0,55.0,116.0,159.0,0.557
Jabari Smith Jr.,22.0,HOU,PF,2705.0,1215.0,0.45,0.363,0.775,529.0,143.0,56.0,71.0,105.0,0.449
VJ Edgecombe,20.0,PHI,SG,2623.0,1199.0,0.438,0.354,0.818,423.0,315.0,107.0,39.0,137.0,0.457
Austin Reaves,27.0,LAL,SG,1762.0,1187.0,0.49,0.36,0.871,240.0,280.0,56.0,20.0,151.0,0.674
Mikal Bridges,29.0,NYK,SF,2692.0,1181.0,0.49,0.371,0.827,312.0,304.0,107.0,62.0,83.0,0.439
Chet Holmgren,23.0,OKC,PF,1997.0,1181.0,0.557,0.362,0.792,615.0,115.0,43.0,131.0,107.0,0.591
Evan Mobley,24.0,CLE,PF,2074.0,1180.0,0.546,0.297,0.606,586.0,234.0,48.0,113.0,122.0,0.569
Jeremiah Fears,19.0,NOP,PG,2112.0,1169.0,0.434,0.33,0.789,300.0,279.0,97.0,30.0,178.0,0.554
Jaime Jaquez Jr.,24.0,MIA,SF,2121.0,1152.0,0.507,0.317,0.769,375.0,352.0,51.0,21.0,152.0,0.543
Immanuel Quickley,26.0,TOR,PG,2231.0,1150.0,0.443,0.374,0.821,282.0,415.0,92.0,5.0,102.0,0.515
Stephen Curry,37.0,GSW,PG,1329.0,1142.0,0.468,0.393,0.923,154.0,203.0,49.0,17.0,121.0,0.859
Stephon Castle,21.0,SAS,PG,2038.0,1133.0,0.471,0.332,0.734,362.0,502.0,78.0,19.0,217.0,0.556
Brandin Podziemski,22.0,GSW,SG,2333.0,1133.0,0.455,0.371,0.797,419.0,304.0,88.0,15.0,131.0,0.486
Dillon Brooks,30.0,PHO,SF,1702.0,1131.0,0.435,0.344,0.842,203.0,99.0,57.0,9.0,98.0,0.665
Naji Marshall,28.0,DAL,SF,2184.0,1128.0,0.51,0.291,0.76,348.0,241.0,82.0,6.0,119.0,0.516
Lauri Markkanen,28.0,UTA,PF,1443.0,1123.0,0.477,0.355,0.896,289.0,89.0,42.0,21.0,63.0,0.778
Onyeka Okongwu,25.0,ATL,C,2297.0,1123.0,0.48,0.376,0.757,562.0,231.0,82.0,79.0,127.0,0.489
OG Anunoby,28.0,NYK,PF,2224.0,1118.0,0.484,0.386,0.828,351.0,145.0,104.0,48.0,123.0,0.503
Brice Sensabaugh,22.0,UTA,SF,1762.0,1116.0,0.46,0.367,0.826,231.0,143.0,54.0,12.0,124.0,0.633
Reed Sheppard,21.0,HOU,SG,2147.0,1110.0,0.43,0.394,0.802,238.0,277.0,122.0,54.0,123.0,0.517
Toumani Camara,25.0,POR,PF,2731.0,1100.0,0.44,0.37,0.708,421.0,201.0,94.0,35.0,144.0,0.403
RJ Barrett,25.0,TOR,SF,1726.0,1098.0,0.491,0.339,0.717,300.0,189.0,42.0,19.0,99.0,0.636
Jaden McDaniels,25.0,MIN,PF,2316.0,1084.0,0.515,0.412,0.835,310.0,199.0,81.0,73.0,131.0,0.468
Keldon Johnson,26.0,SAS,SF,1911.0,1081.0,0.519,0.363,0.794,440.0,111.0,46.0,11.0,70.0,0.566
Tim Hardaway Jr.,33.0,DEN,SG,2127.0,1079.0,0.447,0.407,0.811,206.0,108.0,42.0,10.0,43.0,0.507
Jerami Grant,31.0,POR,PF,1695.0,1060.0,0.453,0.389,0.814,198.0,122.0,42.0,36.0,119.0,0.625
Collin Sexton,27.0,2TM,SG,1614.0,1050.0,0.485,0.401,0.855,155.0,223.0,76.0,10.0,141.0,0.651
Naz Reid,26.0,MIN,C,2007.0,1046.0,0.456,0.362,0.732,477.0,170.0,76.0,78.0,126.0,0.521
Andrew Wiggins,30.0,MIA,SF,2063.0,1045.0,0.475,0.414,0.784,329.0,182.0,76.0,69.0,103.0,0.507
Shaedon Sharpe,22.0,POR,SG,1471.0,1042.0,0.452,0.337,0.787,217.0,132.0,70.0,6.0,147.0,0.708
Ayo Dosunmu,26.0,2TM,SG,1881.0,1022.0,0.517,0.439,0.876,237.0,249.0,58.0,18.0,96.0,0.543
Joel Embiid,31.0,PHI,C,1201.0,1021.0,0.489,0.333,0.854,293.0,150.0,21.0,46.0,109.0,0.85
Collin Gillespie,26.0,PHO,PG,2282.0,1012.0,0.418,0.401,0.874,327.0,371.0,99.0,16.0,125.0,0.443
Quentin Grimes,25.0,PHI,SG,2206.0,1006.0,0.45,0.334,0.84,273.0,244.0,64.0,28.0,133.0,0.456
Donte DiVincenzo,29.0,MIN,SG,2494.0,1000.0,0.406,0.379,0.743,336.0,313.0,104.0,34.0,118.0,0.401
Giannis Antetokounmpo,31.0,MIL,PF,1039.0,993.0,0.624,0.333,0.65,352.0,196.0,34.0,24.0,115.0,0.956
Ace Bailey,19.0,UTA,SF,1988.0,993.0,0.443,0.344,0.75,302.0,131.0,60.0,49.0,107.0,0.499
Russell Westbrook,37.0,SAC,SF,1853.0,971.0,0.427,0.338,0.694,348.0,426.0,83.0,12.0,209.0,0.524
Andrew Nembhard,26.0,IND,PG,1786.0,966.0,0.442,0.361,0.825,160.0,437.0,51.0,8.0,137.0,0.541
Nikola Vučević,35.0,2TM,C,1818.0,965.0,0.493,0.369,0.828,537.0,213.0,39.0,41.0,85.0,0.531
Anthony Black,22.0,ORL,PG,1910.0,959.0,0.447,0.333,0.732,244.0,236.0,91.0,45.0,132.0,0.502
Bennedict Mathurin,23.0,2TM,SF,1620.0,949.0,0.43,0.315,0.869,293.0,129.0,43.0,13.0,118.0,0.586
Derik Queen,21.0,NOP,C,2023.0,948.0,0.473,0.261,0.795,572.0,298.0,84.0,74.0,190.0,0.469
Max Christie,22.0,DAL,SG,2244.0,945.0,0.441,0.404,0.899,249.0,151.0,47.0,27.0,96.0,0.421
Duncan Robinson,31.0,DET,SG,2113.0,939.0,0.456,0.41,0.755,205.0,159.0,44.0,22.0,54.0,0.444
John Collins,28.0,LAC,PF,1872.0,935.0,0.552,0.406,0.766,367.0,70.0,60.0,51.0,95.0,0.499
Donovan Clingan,21.0,POR,C,2094.0,934.0,0.52,0.341,0.68,892.0,162.0,44.0,130.0,95.0,0.446
Devin Vassell,25.0,SAS,SG,2044.0,932.0,0.437,0.384,0.815,269.0,167.0,57.0,25.0,60.0,0.456
Jaren Jackson Jr.,26.0,2TM,C,1454.0,931.0,0.476,0.357,0.803,272.0,94.0,53.0,69.0,107.0,0.64
Wendell Carter Jr.,26.0,ORL,C,2288.0,922.0,0.512,0.319,0.792,577.0,154.0,60.0,49.0,100.0,0.403
